    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell      iu      iv       t
      LD       0       0       0       0       0      36       3       7       0
      LD       0       0       0       1       1      26       2       7       0
      LD       0       0       0       2       2      35       3       6       0
      LD       0       0       0       3       3      25       2       6       0
      LD       0       0       0       4       4       8       0       7       0
      LD       0       0       0       5       5      17       1       7       0
      LD       0       0       0       6       6      16       1       6       0
      LD       0       0       0       7       7       7       0       6       0
      LD       0       0       0       8       8      -1      -1      -1      -1
      LD       0       0       0       9       9       6       0       5       0
      LD       0       0       0      10      10      15       1       5       0
      LD       0       0       0      11      11       5       0       4       0
      LD       0       0       0      12      12      13       1       4       0
      LD       0       0       0      13      13      34       3       5       0
      LD       0       0       0      14      14      33       3       4       0
      LD       0       0       0      15      15      23       2       4       0
      LD       0       0       0      16      16      24       2       5       0
      LD       0       0       0      17      17      -1      -1      -1      -1
      LD       0       0       0      18  CALIB0      14       1       4       1
      LD       0       0       0      19      18      -1      -1      -1      -1
      LD       0       0       0      20      19       4       0       3       0
      LD       0       0       0      21      20      12       1       3       0
      LD       0       0       0      22      21       3       0       2       0
      LD       0       0       0      23      22      11       1       2       0
      LD       0       0       0      24      23       2       0       1       0
      LD       0       0       0      25      24       1       0       0       0
      LD       0       0       0      26      25      10       1       1       0
      LD       0       0       0      27      26       9       1       0       0
      LD       0       0       0      28      27      -1      -1      -1      -1
      LD       0       0       0      29      28      21       2       2       0
      LD       0       0       0      30      29      31       3       2       0
      LD       0       0       0      31      30      22       2       3       0
      LD       0       0       0      32      31      32       3       3       0
      LD       0       0       0      33      32      19       2       0       0
      LD       0       0       0      34      33      29       3       0       0
      LD       0       0       0      35      34      20       2       1       0
      LD       0       0       0      36      35      30       3       1       0
      LD       0       0       1       0      36      46       4       6       0
      LD       0       0       1       1      37      58       5       6       0
      LD       0       0       1       2      38      47       4       7       0
      LD       0       0       1       3      39      59       5       7       0
      LD       0       0       1       4      40      44       4       4       0
      LD       0       0       1       5      41      57       5       5       0
      LD       0       0       1       6      42      56       5       4       0
      LD       0       0       1       7      43      45       4       5       0
      LD       0       0       1       8      44      -1      -1      -1      -1
      LD       0       0       1       9      45      74       6       7       0
      LD       0       0       1      10      46      88       7       7       0
      LD       0       0       1      11      47      87       7       6       0
      LD       0       0       1      12      48      73       6       6       0
      LD       0       0       1      13      49      71       6       4       0
      LD       0       0       1      14      50      86       7       5       0
      LD       0       0       1      15      51      72       6       5       0
      LD       0       0       1      16      52      85       7       4       0
      LD       0       0       1      17      53      -1      -1      -1      -1
      LD       0       0       1      18  CALIB1      70       6       3       1
      LD       0       0       1      19      54      -1      -1      -1      -1
      LD       0       0       1      20      55      69       6       3       0
      LD       0       0       1      21      56      84       7       3       0
      LD       0       0       1      22      57      68       6       2       0
      LD       0       0       1      23      58      83       7       2       0
      LD       0       0       1      24      59      43       4       3       0
      LD       0       0       1      25      60      42       4       2       0
      LD       0       0       1      26      61      55       5       3       0
      LD       0       0       1      27      62      54       5       2       0
      LD       0       0       1      28      63      -1      -1      -1      -1
      LD       0       0       1      29      64      67       6       1       0
      LD       0       0       1      30      65      82       7       1       0
      LD       0       0       1      31      66      66       6       0       0
      LD       0       0       1      32      67      81       7       0       0
      LD       0       0       1      33      68      52       5       0       0
      LD       0       0       1      34      69      41       4       1       0
      LD       0       0       1      35      70      53       5       1       0
      LD       0       0       1      36      71      40       4       0       0
      LD       0       1       0       0       0     165      12      12       0
      LD       0       1       0       1       1     177      13      13       0
      LD       0       1       0       2       2     151      11      12       0
      LD       0       1       0       3       3     166      12      13       0
      LD       0       1       0       4       4     178      13      14       0
      LD       0       1       0       5       5     188      14      14       0
      LD       0       1       0       6       6     198      15      15       0
      LD       0       1       0       7       7     189      14      15       0
      LD       0       1       0       8       8      -1      -1      -1      -1
      LD       0       1       0       9       9     179      13      15       0
      LD       0       1       0      10      10     167      12      14       0
      LD       0       1       0      11      11     168      12      15       0
      LD       0       1       0      12      12     153      11      14       0
      LD       0       1       0      13      13     137      10      12       0
      LD       0       1       0      14      14     123       9      12       0
      LD       0       1       0      15      15     138      10      13       0
      LD       0       1       0      16      16     152      11      13       0
      LD       0       1       0      17      17      -1      -1      -1      -1
      LD       0       1       0      18  CALIB0     154      11      14       1
      LD       0       1       0      19      18      -1      -1      -1      -1
      LD       0       1       0      20      19     155      11      15       0
      LD       0       1       0      21      20     139      10      14       0
      LD       0       1       0      22      21     140      10      15       0
      LD       0       1       0      23      22     125       9      14       0
      LD       0       1       0      24      23     126       9      15       0
      LD       0       1       0      25      24     111       8      15       0
      LD       0       1       0      26      25     110       8      14       0
      LD       0       1       0      27      26      95       7      14       0
      LD       0       1       0      28      27      -1      -1      -1      -1
      LD       0       1       0      29      28     109       8      13       0
      LD       0       1       0      30      29      93       7      12       0
      LD       0       1       0      31      30     124       9      13       0
      LD       0       1       0      32      31     108       8      12       0
      LD       0       1       0      33      32      94       7      13       0
      LD       0       1       0      34      33      79       6      12       0
      LD       0       1       0      35      34      80       6      13       0
      LD       0       1       0      36      35      65       5      12       0
      LD       0       1       1       0      36     121       9      10       0
      LD       0       1       1       1      37     135      10      10       0
      LD       0       1       1       2      38     136      10      11       0
      LD       0       1       1       3      39     150      11      11       0
      LD       0       1       1       4      40     107       8      11       0
      LD       0       1       1       5      41     106       8      10       0
      LD       0       1       1       6      42      91       7      10       0
      LD       0       1       1       7      43     122       9      11       0
      LD       0       1       1       8      44      -1      -1      -1      -1
      LD       0       1       1       9      45     120       9       9       0
      LD       0       1       1      10      46     104       8       8       0
      LD       0       1       1      11      47      89       7       8       0
      LD       0       1       1      12      48     105       8       9       0
      LD       0       1       1      13      49      76       6       9       0
      LD       0       1       1      14      50      75       6       8       0
      LD       0       1       1      15      51      90       7       9       0
      LD       0       1       1      16      52      60       5       8       0
      LD       0       1       1      17      53      -1      -1      -1      -1
      LD       0       1       1      18  CALIB1      62       5       9       1
      LD       0       1       1      19      54      -1      -1      -1      -1
      LD       0       1       1      20      55      61       5       9       0
      LD       0       1       1      21      56      48       4       8       0
      LD       0       1       1      22      57      49       4       9       0
      LD       0       1       1      23      58      37       3       8       0
      LD       0       1       1      24      59      92       7      11       0
      LD       0       1       1      25      60      78       6      11       0
      LD       0       1       1      26      61      77       6      10       0
      LD       0       1       1      27      62      63       5      10       0
      LD       0       1       1      28      63      -1      -1      -1      -1
      LD       0       1       1      29      64      38       3       9       0
      LD       0       1       1      30      65      27       2       8       0
      LD       0       1       1      31      66      28       2       9       0
      LD       0       1       1      32      67      18       1       8       0
      LD       0       1       1      33      68      39       3      10       0
      LD       0       1       1      34      69      64       5      11       0
